id_cliente,identificacion,nombre,apellido,genero,fecha_nacimiento,correo,telefono,id_programa,fecha_afiliacion,tipo_cliente
1,369661568,Asunción,Lozano Zapata,F,2004-02-05,gfeliciano@example.org,1-241-714-6774,4,2024-02-22,Ocasional
2,914945287,Aurora,Tovar Ontiveros,F,1966-06-03,jose-eduardoolivarez@example.com,(704)774-3490,3,2025-04-08,Frecuente
3,516808288,Cornelio,Calderón Briones,N,1962-07-10,patricia69@example.org,(068)687-9374x1608,4,2025-01-12,VIP
4,814866662,Reina,Sierra Vázquez,N,1957-07-05,carlarangel@example.org,(332)061-6329,4,2022-10-28,Frecuente
5,804085526,Francisco Javier,Maya Barrera,M,1956-05-02,oquendopilar@example.com,(548)709-9861x6229,,,Ocasional
6,831748359,Rolando,Verduzco Camarillo,N,1989-07-04,valladaresbenito@example.com,(564)679-9702x4629,1,2025-01-09,Ocasional
7,182044088,Sandra,Padilla Arellano,F,2000-07-19,smeraz@example.org,+74(5)0544471324,1,2025-08-20,VIP
8,695482165,Margarita,Mayorga Jiménez,N,1963-07-01,pzedillo@example.org,1-736-785-0821,,,Frecuente
9,599462521,Hugo,Santillán Páez,M,2002-02-14,ofeliavarela@example.org,(330)307-0534,1,2024-10-09,Frecuente
10,861286533,José Carlos,Rivera Santiago,M,1991-04-17,rcastaneda@example.org,579.727.9855,,,Ocasional
11,661689726,Dalia,Holguín Bustamante,F,1999-01-21,alicia60@example.org,1-333-346-8007x2290,4,2022-02-22,Frecuente
12,251413319,Esparta,Hernádez Zúñiga,N,1971-10-25,trinidad46@example.com,743.748.9691,2,2022-01-01,Ocasional
13,557255568,Abraham,Segura Noriega,M,1973-03-12,hector17@example.org,1-454-443-2830,4,2025-05-17,Frecuente
14,546022857,Ruby,Páez Maya,N,1972-04-10,aldonzasalinas@example.com,666-099-3538,,,Frecuente
15,589871278,Teodoro,Rolón Muñoz,F,1966-09-27,david82@example.com,07248251353,3,2023-10-20,Ocasional
16,503801923,Homero,Peres Meraz,M,1973-07-10,francisca94@example.com,07099917381,3,2025-08-24,VIP
17,012054074,Juana,Tamayo Lugo,N,1955-11-11,jayala@example.org,1-569-725-2175,3,2025-05-02,Ocasional
18,576597845,Susana,Díaz Marroquín,M,1974-05-11,acunamaria-cristina@example.com,1-292-712-9666,1,2023-04-09,VIP
19,869695658,Luis Miguel,Romero Olivera,M,2002-03-12,archuletaoswaldo@example.org,505.830.0335x42168,4,2023-10-01,Frecuente
20,933803236,Rolando,Malave de la Fuente,M,1961-02-19,armentahector@example.com,1-898-562-5753x260,,,Ocasional
21,606436363,Esperanza,Garrido Ceja,M,1992-07-26,agustinvillalpando@example.net,(150)648-9090,1,2023-04-11,VIP
22,857823471,Virginia,Cardenas Almonte,N,2001-12-20,carrillolorena@example.com,184-723-0461x849,1,2024-02-16,Frecuente
23,405631551,Samuel,Chapa Peralta,F,1983-10-06,seguraserafin@example.org,(117)393-4835,3,2025-02-14,Ocasional
24,644341893,Lucas,Lucero Cruz,F,1993-12-18,ulibarrimiriam@example.org,1-753-001-1972x18114,1,2025-03-15,Ocasional
25,497915642,Trinidad,Godoy Reyes,F,1973-02-26,gabino70@example.org,(045)561-1002,,,Ocasional
26,781470336,Wilfrido,de la Rosa Méndez,M,1954-10-26,marcela94@example.net,05521667467,,,VIP
27,481117494,Lucía,de la Crúz Carreón,N,1992-07-09,ana-mariacrespo@example.org,(979)729-6590x277,3,2025-06-09,Frecuente
28,000290988,Bruno,Patiño Quintana,F,1997-11-08,barajasfrancisca@example.net,1-089-935-8891,1,2022-01-13,Ocasional
29,790453791,Magdalena,Guzmán Rosario,M,1965-07-06,wilfrido62@example.net,002.877.2175x3540,,,Ocasional
30,398921778,Natividad,Garica Urbina,N,1988-02-17,ppadron@example.org,1-797-177-5170x166,,,VIP
31,905274235,Alejandro,Valdés Ulloa,F,1997-10-03,bustossalma@example.net,488-375-5037x58997,2,2024-01-25,VIP
32,991166232,Víctor,Narváez Regalado,F,1954-03-25,calderonvictoria@example.org,+55(4)8851027261,,,VIP
33,262478801,Florencia,Estévez Escobedo,M,1963-10-31,orozcoesmeralda@example.com,1-516-091-7798,,,Ocasional
34,257749794,Cecilia,Samaniego Acuña,F,1968-07-04,uribemagdalena@example.net,829.221.6995x866,2,2024-09-29,Frecuente
35,118568830,Sandra,Guzmán Lara,N,1955-06-15,smontalvo@example.com,269-848-5833,4,2023-05-21,Ocasional
36,827139935,Enrique,López Montaño,M,1973-12-07,violetadominguez@example.net,(515)879-9684x6081,2,2023-09-18,Ocasional
37,088775734,Alberto,Olivárez Colunga,F,1996-02-17,badilloelvira@example.com,(442)043-8057,,,Ocasional
38,312992482,Benjamín,Valenzuela Garrido,N,1982-06-11,ggranados@example.net,(066)658-0043,2,2024-07-11,Ocasional
39,750678625,Silvano,Quintero Garza,M,1998-02-22,rolando89@example.org,347.212.2816x06484,3,2025-01-08,Frecuente
40,785455186,Catalina,Cruz Viera,M,1977-06-17,abigail57@example.net,025-909-4798,2,2024-09-08,Ocasional
41,186228895,Jorge,Beltrán Matías,F,1972-08-31,dulce-mariasoliz@example.org,268-861-5335x5543,2,2025-02-14,VIP
42,651251996,Serafín,Tamez Roldán,F,1952-09-12,carreroyolanda@example.com,1-399-305-6164x840,,,Frecuente
43,959550591,Noemí,Noriega Serrano,M,1954-01-07,cruiz@example.com,358-112-8801x33613,2,2022-12-26,Ocasional
44,806341956,Pablo,Puga Becerra,N,2000-01-27,albertorico@example.net,1-011-024-8193,4,2022-09-07,Ocasional
45,002372925,Francisco Javier,Pantoja Oquendo,F,1971-11-21,bpalacios@example.com,+61(8)0919015814,1,2024-09-15,Ocasional
46,277513493,Hermelinda,Zepeda Briseño,N,1958-10-06,marcela66@example.net,+72(8)3268424508,1,2024-07-25,VIP
47,841389954,Pilar,Cisneros Castañeda,M,1979-09-25,adamerenato@example.net,881-435-3682x223,4,2024-06-05,VIP
48,964006920,Sergio,Hernádez Esquibel,M,1970-03-03,duranyuridia@example.net,+87(8)1414139755,4,2025-01-14,Ocasional
49,338926063,Carolina,Gollum Camarillo,N,1967-06-19,silvano13@example.com,759.492.9955x620,3,2025-02-08,Frecuente
50,155616755,Humberto,Gurule García,N,1999-10-31,xlebron@example.org,(577)754-7812x91428,1,2024-08-25,Frecuente
51,566700843,Elsa,Irizarry Bermúdez,M,2001-01-29,almaraznatividad@example.net,+99(6)9308488725,2,2022-09-17,Frecuente
52,004794955,Julio César,Garica Villalpando,M,1984-02-08,cecilia78@example.net,06580392827,,,VIP
53,509831043,Cristobal,Duarte Valles,F,1960-07-26,maximilianomunoz@example.org,731.453.0385,1,2025-10-06,Frecuente
54,743105761,Julia,Rodarte Rentería,M,2004-08-06,arenasvioleta@example.com,08449892665,2,2024-06-11,Ocasional
55,216450079,Rodrigo,Bernal Sierra,F,1982-11-16,jose-manuel38@example.com,577.908.2723,3,2025-10-26,Frecuente
56,248371818,Araceli,Serrano León,F,1994-08-01,conchitaescobar@example.org,913.651.7773,,,Ocasional
57,070398494,Rosa,Cuellar Partida,M,1962-03-15,guerreroalvaro@example.org,1-922-809-2024x2869,,,Frecuente
58,959688204,Ramón,Almaraz Limón,N,1996-05-10,galvezmarisol@example.net,723.692.9298x425,4,2023-05-08,VIP
59,090959700,María Elena,Ybarra Villanueva,F,2000-06-17,godinezjose-maria@example.com,103-886-2912,,,Ocasional
60,013014896,Martín,Zapata Arellano,F,1966-09-06,cabanmauricio@example.net,980-686-5086,,,Frecuente
61,039848104,Estela,Rosario Olivárez,F,2003-04-05,rolando91@example.com,473-149-8643,4,2023-06-10,Frecuente
62,986853762,Abigail,Aguilar Vélez,N,1962-08-21,solisabraham@example.com,356-512-6944x86959,4,2025-04-29,Ocasional
63,528352418,Gerónimo,Osorio Figueroa,M,2006-01-07,yurias@example.net,258.874.4956x213,2,2024-08-29,Ocasional
64,235277031,Marisela,Cuellar Camarillo,N,2004-10-17,nancypacheco@example.com,(902)601-2796x1143,1,2024-08-17,Frecuente
65,828732783,José Eduardo,Bétancourt Archuleta,M,1987-09-28,npacheco@example.net,490-277-0384x3098,3,2025-01-22,Frecuente
66,474527225,Noemí,Gómez de la O,M,1999-02-02,murilloevelio@example.net,+21(4)6566938011,2,2024-02-23,Frecuente
67,976841034,Paulina,Linares Valdivia,F,1974-10-28,javier43@example.net,1-769-042-6818,4,2025-06-23,Ocasional
68,309157009,Antonia,Santacruz Lozano,F,1959-08-12,camilo84@example.net,1-476-973-5779x0714,3,2022-02-26,VIP
69,668001790,Ángel,Olivas Garay,N,1951-09-18,ignaciopaz@example.com,804-341-6518x2755,,,VIP
70,743616469,Esteban,Vela Jiménez,F,1974-01-18,eliassamaniego@example.net,1-334-333-3952,2,2022-01-02,Ocasional
71,861979390,Bernabé,Casares Berríos,F,1954-07-22,waguayo@example.net,+75(9)5794728463,2,2023-01-10,VIP
72,937654834,Reynaldo,Cazares Ayala,M,1994-03-03,iromo@example.org,562-718-7500x3691,2,2022-09-22,VIP
73,459753027,Irma,Nájera Huerta,M,1954-04-27,pascualirizarry@example.org,795-527-6365,2,2023-09-15,VIP
74,706503984,José,Pacheco Lemus,N,2004-11-13,kduenas@example.org,1-314-386-6322x7026,,,Ocasional
75,056999368,Modesto,Cervantes Sierra,N,1982-03-23,micaela44@example.net,1-061-203-4717x5455,,,Frecuente
76,963030449,Rafaél,Valdés Hinojosa,M,1951-09-22,alejandra61@example.com,(939)982-4558x77169,1,2022-05-31,Frecuente
77,574062426,Gonzalo,Rivas Colunga,N,1969-07-17,timoteomiranda@example.com,996-112-5355x44964,3,2023-09-21,Ocasional
78,593204381,María,Naranjo Villagómez,F,1950-09-21,kpedraza@example.org,+23(4)1326111780,1,2022-05-30,Frecuente
79,493132425,Aldonza,Osorio Soria,N,1966-10-04,canofrida@example.net,164-334-7228,2,2023-03-25,Ocasional
80,738070084,David,Anaya Aragón,N,1954-03-01,irma77@example.net,872-829-9796,4,2024-11-11,Frecuente
